from,to,weight
Venezuela,USA,0.032928242
Venezuela,Venezuela,0.764727134
Venezuela,Germany,0.001733303
Venezuela,Curacao,0.200611321
FrenchGuiana,France,1
Bolivia,Bolivia,0.973710484
Bolivia,USA,0.01998293
Bolivia,Spain,0.006306586
Ecuador,Ecuador,0.99136845
Ecuador,Spain,0.004584349
Ecuador,USA,0.004047201
Guyana,USA,1
India,India,0.985969329
India,UnitedArabEmirates,0.009639174
India,Qatar,0.003213902
India,Germany,0.000865511
India,UnitedKingdom,0.000312085
Uruguay,USA,0.012118504
Uruguay,Argentina,0.987881496
Suriname,Netherlands,1
Bermuda,USA,1
Iceland,USA,0.02065925
Iceland,Iceland,0.026285272
Iceland,Germany,0.001163089
Iceland,FaroeIslands,0.951892389
Canada,Canada,0.899640455
Canada,UnitedKingdom,0.003885161
Canada,Cuba,0.063459182
Canada,DominicanRepublic,0.027855795
Canada,Germany,0.004247154
Canada,USA,0.000827751
Canada,France,8.45E-05
Kazakhstan,RussianFederation,0.885738184
Kazakhstan,Germany,0.043633982
Kazakhstan,Netherlands,0.070627834
RussianFederation,Kazakhstan,0.008912856
RussianFederation,Uzbekistan,0.003425081
RussianFederation,Tajikistan,0.001921363
RussianFederation,Kyrgyzstan,0.000645167
RussianFederation,VietNam,0.021875169
RussianFederation,Armenia,0.000622515
RussianFederation,Azerbaijan,0.000557563
RussianFederation,Cyprus,0.001413337
RussianFederation,RussianFederation,0.936759743
RussianFederation,Germany,0.023123971
RussianFederation,Ukraine,0.000743235
Turkmenistan,Turkey,1
Uzbekistan,RussianFederation,1
Tajikistan,RussianFederation,1
Kyrgyzstan,RussianFederation,1
China,China,0.990533527
China,France,6.66E-05
China,KoreaRepublicof,0.006071699
China,Finland,7.99E-05
China,Japan,0.001308775
China,Macao(SAR)China,0.000285848
China,Germany,0.000198078
China,Taiwan,0.001455529
Japan,Japan,0.947334806
Japan,KoreaRepublicof,0.010851169
Japan,Netherlands,0.000180011
Japan,Germany,7.09E-05
Japan,China,0.041232526
Japan,NewCaledonia,0.000140933
Japan,Guam,8.78E-05
Japan,NorthernMarianaIslands(exceptGuam),0.00010192
KoreaRepublicof,China,0.096063657
KoreaRepublicof,Japan,0.005337242
KoreaRepublicof,KoreaRepublicof,0.897250153
KoreaRepublicof,Germany,5.05E-05
KoreaRepublicof,Palau,0.001298459
Finland,China,0.337568194
Finland,Germany,0.000647348
Finland,Finland,0.611062871
Finland,Estonia,0.01122958
Finland,Greece,0.039492008
HongKong(SAR)China,UnitedKingdom,0.045237581
