,from,to,weight,effdistance
346,Cuba,Cuba,0.475493454,1.743
347,Cuba,France,0.010772101999999999,5.531
348,Cuba,Germany,0.422407986,1.862
349,Cuba,Canada,0.09132645699999999,3.393
350,Curacao,Netherlands,0.346210109,2.061
351,Curacao,Venezuela,0.6537898910000001,1.425
352,Dominica,Guadeloupe,1.0,1.0
353,Guadeloupe,Dominica,0.7628514209999999,1.271
354,Guadeloupe,France,0.181238645,2.708
355,Guadeloupe,SaintMartin,0.055909935,3.884
358,StMaarten(DutchPart),SaintBarthelemy,0.166519058,2.793
359,StMaarten(DutchPart),France,0.48161497700000006,1.731
360,Martinique,France,0.37426466,1.983
361,Martinique,SaintLucia,0.62573534,1.469
362,Bahamas,USA,1.0,1.0
363,CaymanIslands,USA,1.0,1.0
365,Jamaica,USA,0.622213159,1.474
366,Jamaica,Germany,0.37778684100000004,1.973
367,Haiti,USA,1.0,1.0
368,TurksandCaicosIslands,USA,1.0,1.0
369,TrinidadandTobago,USA,0.289958912,2.238
370,TrinidadandTobago,Germany,0.710041088,1.342
371,SaintBarthelemy,StMaarten(DutchPart),1.0,1.0
372,SaintMartin,Guadeloupe,1.0,1.0
374,SaintLucia,Martinique,0.8487390570000001,1.164
375,SaintLucia,USA,0.151260943,2.889
377,StVincentandtheGrenadines,Barbados,1.0,1.0
378,Mexico,Mexico,0.946407691,1.055
379,Mexico,USA,0.050191232999999995,3.992
380,Mexico,Germany,0.000358474,8.934
381,Mexico,Mongolia,0.003042602,6.795
382,Belize,USA,1.0,1.0
383,Guatemala,USA,1.0,1.0
384,Honduras,Honduras,0.258124052,2.354
385,Honduras,USA,0.741875948,1.299
386,CostaRica,USA,1.0,1.0
387,Nicaragua,USA,1.0,1.0
388,Mongolia,Mexico,0.48787115200000003,1.718
389,Mongolia,Germany,0.512128848,1.669
390,Panama,USA,1.0,1.0
391,ElSalvador,USA,1.0,1.0
392,Colombia,Colombia,0.996514094,1.003
393,Colombia,USA,0.003195397,6.746
394,Colombia,Germany,0.000290509,9.144
395,Argentina,Brazil,0.001950776,7.24
396,Argentina,Argentina,0.98486848,1.015
397,Argentina,Germany,3.32e-05,11.313
398,Argentina,Chile,0.012576539,5.376
399,Argentina,Uruguay,0.000570965,8.468
400,Brazil,Argentina,0.000319657,9.048
401,Brazil,Paraguay,6.07e-05,10.71
402,Brazil,Brazil,0.999108728,1.001
403,Brazil,USA,0.000138053,9.888
404,Brazil,Germany,0.000199998,9.517
405,Brazil,Turkey,0.00017287700000000002,9.663
406,Paraguay,Brazil,0.9347869129999999,1.067
407,Paraguay,USA,0.065213087,3.73
408,Chile,Chile,0.991865991,1.008
409,Chile,Argentina,0.007319815,5.917
410,Chile,France,0.000814195,8.113
411,Peru,Peru,0.999393332,1.001
412,Peru,USA,0.000606668,8.408
413,Venezuela,USA,0.032928242,4.413
414,Venezuela,Venezuela,0.764727134,1.268
415,Venezuela,Germany,0.0017333029999999998,7.358
416,Venezuela,Curacao,0.200611321,2.606
417,FrenchGuiana,France,1.0,1.0
418,Bolivia,Bolivia,0.973710484,1.027
419,Bolivia,USA,0.01998293,4.913
420,Bolivia,Spain,0.0063065859999999994,6.066
421,Ecuador,Ecuador,0.99136845,1.009
422,Ecuador,Spain,0.004584349000000001,6.385
423,Ecuador,USA,0.004047200999999999,6.51
424,Guyana,USA,1.0,1.0
425,India,India,0.985969329,1.014
426,India,UnitedArabEmirates,0.009639174,5.642
427,India,Qatar,0.0032139020000000003,6.74
428,India,Germany,0.000865511,8.052
429,India,UnitedKingdom,0.000312085,9.072
430,Uruguay,USA,0.012118503999999999,5.413
431,Uruguay,Argentina,0.987881496,1.012
432,Suriname,Netherlands,1.0,1.0
433,Bermuda,USA,1.0,1.0
434,Iceland,USA,0.02065925,4.88
435,Iceland,Iceland,0.026285272000000002,4.639
436,Iceland,Germany,0.001163089,7.757
437,Iceland,FaroeIslands,0.9518923890000001,1.049
438,Canada,Canada,0.899640455,1.106
439,Canada,UnitedKingdom,0.003885161,6.551
440,Canada,Cuba,0.063459182,3.757
441,Canada,DominicanRepublic,0.027855795,4.581
442,Canada,Germany,0.004247154,6.462
443,Canada,USA,0.000827751,8.097
444,Canada,France,8.45e-05,10.379
445,Kazakhstan,RussianFederation,0.885738184,1.121
446,Kazakhstan,Germany,0.043633982,4.132
447,Kazakhstan,Netherlands,0.070627834,3.65
448,RussianFederation,Kazakhstan,0.008912856,5.72
449,RussianFederation,Uzbekistan,0.003425081,6.677
450,RussianFederation,Tajikistan,0.001921363,7.255
451,RussianFederation,Kyrgyzstan,0.000645167,8.346
452,RussianFederation,VietNam,0.021875169,4.822
453,RussianFederation,Armenia,0.000622515,8.382
454,RussianFederation,Azerbaijan,0.0005575630000000001,8.492
455,RussianFederation,Cyprus,0.0014133370000000002,7.562
456,RussianFederation,RussianFederation,0.936759743,1.065
457,RussianFederation,Germany,0.023123971,4.767
458,RussianFederation,Ukraine,0.000743235,8.204
459,Turkmenistan,Turkey,1.0,1.0
460,Uzbekistan,RussianFederation,1.0,1.0
461,Tajikistan,RussianFederation,1.0,1.0
462,Kyrgyzstan,RussianFederation,1.0,1.0
463,China,China,0.9905335270000001,1.01
